hs_code,chapter,description_id,description_en,import_duty,export_duty,ppn,ppnbm,hs_level
01.01,01,"Kuda, keledai, bagal dan hinnie, hidup.","Live horses, asses, mules and hinnies.",,,,,4
01.01.21.00,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.01.29.00,01,- - Lain-lain,- - Other,5,-,11,-,8
01.01.30,01,- Keledai :,- Asses :,,,,,6
01.01.30.10,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.01.30.90,01,- - Lain-lain,- - Other,5,-,11,-,8
01.01.90.00,01,- Lain-lain,- Other,5,-,11*),-,8
01.02,01,Binatang hidup jenis lembu.,Live bovine animals.,,,,,4
01.02.21.00,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.02.29,01,- - Lain-lain :,- - Other :,,,,,6
01.02.29.11,01,- - - - Oxen,- - - - Oxen,0,-,-,-,8
01.02.29.19,01,- - - - Lain-lain,- - - - Other,5,-,-,-,8
01.02.29.90,01,- - - Lain-lain,- - - Other,5,-,-,-,8
01.02.31.00,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.02.39.00,01,- - Lain-lain,- - Other,5,-,-,-,8
01.02.90,01,- Lain-lain :,- Other :,,,,,6
01.02.90.10,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.02.90.90,01,- - Lain-lain,- - Other,5,-,-,-,8
01.03,01,Babi hidup.,Live swine.,,,,,4
01.03.10.00,01,- Bibit,- Pure-bred breeding animals,0,-,-,-,8
01.03.91.00,01,- - Berat kurang dari 50 kg,- - Weighing less than 50 kg,5,-,-,-,8
01.03.92.00,01,- - Berat 50 kg atau lebih,- - Weighing 50 kg or more,5,-,-,-,8
01.04,01,"Biri-biri dan kambing, hidup.",Live sheep and goats.,,,,,4
01.04.10,01,- Biri-biri :,- Sheep :,,,,,6
01.04.10.10,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.04.10.90,01,- - Lain-lain,- - Other,5,-,-,-,8
01.04.20,01,- Kambing :,- Goats :,,,,,6
01.04.20.10,01,- - Bibit,- - Pure-bred breeding animals,0,-,-,-,8
01.04.20.90,01,- - Lain-lain,- - Other,5,-,-,-,8
